"","x"
"488",328.1845
"489",357.3556
"490",385.5966
"491",412.6281
"492",438.9929
"493",468.6182
"494",496.3296
"495",518.6298
"496",543.4694
"497",569.6912
"498",590.6867
"499",611.4512
"500",630.7238
"501",653.0628
"502",672.7619
"503",688.2343
"504",706.6367
"505",722.2157
"506",728.9351
"507",741.6294
"508",754.9947
"509",764.93
"510",773.4163
"511",782.0939
"512",788.8266
"513",793.0105
"514",797.3231
"515",798.7805
"516",792.6878
"517",790.1174
"518",794.9166
"519",618.7576
"520",800.8621
"521",808.5272
"522",814.8774
"523",773.7218
"524",740.9831
"525",734.6517
"526",677.4235
"527",531.2479
"528",668.9161
"529",530.9206
"530",578.721
"531",425.3524
"532",313.8323
"533",515.557
"534",562.6481
"535",523.7728
"536",473.5864
"537",426.8889
"538",384.7279
"539",358.3623
"540",330.2354
"541",302.0283
"542",273.7582
"543",243.6611
"544",212.8331
"545",183.8332
"546",157.5601
"547",87.2669
"548",106.7259
"549",83.6813
"550",61.4632
"551",31.3982
"552",17.5297
"553",9.6145
"554",2.8066
"555",0
"556",0
"557",0
"558",0
"559",0
"560",0
"561",0
"562",0
"563",0
"564",0
"565",0
"566",0
"567",0
"568",0
"569",0
"570",0
"571",0
"572",0
"573",0
"574",0
"575",0
"576",0
"577",0
"578",0
"579",0
"580",0
"581",0
"582",0
"583",0
"584",0
"585",0
"586",0
"587",0
"588",0
"589",0
"590",0
"591",0
"592",0
"593",0
"594",0
"595",0
"596",0
"597",0
"598",0
"599",0
"600",0
"601",0
"602",0
"603",0
"604",0
"605",0
"606",0
"607",0
"608",0
"609",0
"610",0
"611",0
"612",0
"613",0
"614",0
"615",0
"616",0
"617",0.0917
"618",3.7076
"619",10.5856
"620",21.7537
"621",37.9721
"622",56.4647
"623",78.5385
"624",102.5449
"625",128.2053
"626",153.5078
"627",181.6664
"628",209.3998
"629",239.612
"630",268.2428
"631",297.4101
"632",324.9296
"633",354.5871
"634",382.1311
"635",411.4216
"636",438.6237
"637",465.8459
"638",493.1604
"639",519.096
"640",543.613
"641",567.1048
"642",591.8464
"643",612.9026
"644",633.8877
"645",654.9118
"646",673.3643
"647",689.6453
"648",706.425
"649",721.7478
"650",734.2587
"651",744.8573
"652",755.1933
"653",763.219
"654",774.9079
"655",782.02
"656",785.823
"657",788.1251
"658",788.9207
"659",788.6962
"660",784.3467
"661",783.5101
"662",778.1673
"663",773.1263
"664",766.3919
"665",758.1108
"666",746.3314
"667",735.3383
"668",720.7408
"669",705.8262
"670",686.5867
"671",669.567
"672",649.6816
"673",629.4657
"674",607.1156
"675",583.5649
"676",556.8561
"677",530.2539
"678",504.8756
"679",471.2683
"680",237.3053
"681",114.5638
"682",69.939
"683",65.3103
"684",67.0783
"685",73.2424
"686",83.8632
"687",90.3116
"688",90.9872
"689",82.6724
"690",67.9358
"691",54.6164
"692",42.0663
"693",36.558
"694",35.7312
"695",33.9485
"696",18.0243
"697",10.2209
