"","x"
"495",3828.564
"496",3986.304
"497",4121.718
"498",4237.05
"499",4361.61
"500",4452.741
"501",4540.293
"502",4639.05
"503",4679.508
"504",4748.553
"505",4863.093
"506",4883.352
"507",4905.909
"508",4972.086
"509",4989.894
"510",4988.97
"511",4984.323
"512",4981.584
"513",4993.59
"514",5009.55
"515",5013.54
"516",4959.573
"517",4885.026
"518",4908.555
"519",3640.902
"520",4871.112
"521",4872.948
"522",4821.801
"523",4582.854
"524",4401.426
"525",4296.399
"526",3625.911
"527",3261.237
"528",3424.41
"529",2765.082
"530",3431.877
"531",2098.425
"532",1798.902
"533",3057.921
"534",2974.548
"535",2647.152
"536",2173.926
"537",1374.957
"538",811.548
"539",568.608
"540",540.168
"541",512.601
"542",505.311
"543",426.582
"544",369.861
"545",369.897
"546",369.858
"547",341.892
"548",346.554
"549",345.567
"550",352.779
"551",303.453
"552",303.858
"553",296.793
"554",297.075
"555",303.963
"556",289.356
"557",0
"558",0
"559",0
"560",0
"561",0
"562",0
"563",0
"564",0
"565",0
"566",0
"567",0
"568",0
"569",0
"570",0
"571",0
"572",0
"573",0
"574",0
"575",0
"576",0
"577",0
"578",0
"579",0
"580",0
"581",0
"582",0
"583",0
"584",0
"585",0
"586",0
"587",0
"588",0
"589",0
"590",0
"591",0
"592",0
"593",0
"594",0
"595",0
"596",0
"597",0
"598",0
"599",0
"600",0
"601",0
"602",0
"603",0
"604",0
"605",0
"606",0
"607",0
"608",0
"609",0
"610",0
"611",0
"612",0
"613",0
"614",0
"615",0
"616",0
"617",28.296
"618",324.936
"619",296.007
"620",315.459
"621",312.519
"622",348.717
"623",350.325
"624",371.031
"625",428.055
"626",462.507
"627",567.762
"628",1115.808
"629",1903.956
"630",2138.94
"631",2382.693
"632",2585.433
"633",2776.125
"634",2962.341
"635",3172.464
"636",3369.969
"637",3551.394
"638",3722.22
"639",3893.202
"640",4020.606
"641",4185.516
"642",4297.035
"643",4398.9
"644",4481.772
"645",4613.844
"646",4691.556
"647",4780.152
"648",4839.141
"649",4890.375
"650",4904.658
"651",4938.519
"652",4982.001
"653",4988.736
"654",4995.675
"655",5038.77
"656",5048.739
"657",5012.343
"658",4974.228
"659",4966.488
"660",4906.371
"661",4868.511
"662",4827.798
"663",4806.036
"664",4745.745
"665",4671.171
"666",4593.897
"667",4518.708
"668",4395.297
"669",4240.239
"670",4083.204
"671",3957.972
"672",3798.804
"673",3653.271
"674",3487.347
"675",3323.742
"676",3145.701
"677",2953.479
"678",2774.778
"679",2471.787
"680",950.838
"681",460.017
"682",354.39
"683",354.42
"684",375.687
"685",418.947
"686",468.684
"687",496.86
"688",504.552
"689",454.68
"690",362.454
"691",352.635
"692",366.801
"693",353.253
"694",254.484
"695",297.198
"696",325.656
"697",269.181
"698",269.187
"699",318.858
"700",247.614
"701",0
"702",0
"703",0
"704",0
"705",0
"706",0
"707",0
"708",0
"709",0
